loc_rowid,pl_orbsmax,pl_rade,st_rad,st_lum
25043,0.044,9.98,0.94,-0.15
25057,0.0464,10.962,0.86,-0.323
25065,0.0414,12.22,0.92,-0.089
25076,0.091,13.79,1.35,0.29
25099,0.0433,12.11,0.8,-0.39
25104,0.044,12.55,1.34,0.326
25179,0.0679,16.25,2.26,0.88
25186,0.1143,12.67,1.38,0.33
25204,0.0948,22.31,3.21,1.129
25216,0.339,2.73,0.7,-0.701
25232,0.288,2.14,0.68,-0.762
25242,0.166,1.12,0.52,-1.357
25250,0.563,2.24,0.87,-0.236
25275,0.242,1.86,0.56,-1.102
25291,0.64,1.64,0.55,-1.051
25297,0.409,1.34,0.6,-0.932
25303,0.495,2.33,0.71,-0.664
25554,0.1971,9.079,0.94,-0.255
25557,0.1968,9.057,0.94,-0.255
25680,0.2962,3.03,0.96,-0.076
25682,0.991,4.62,0.96,-0.076
26064,0.05064,16.04,1.79,0.669
26912,0.04766,4.741,0.9,-0.271
26921,0.898,11.579,0.9,-0.271
27030,0.0899,1.47,0.27,-2.022
27543,0.04567,14.83,1.39,0.299
27887,0.0553,1.31,0.64,-0.678
27901,0.0929,0.54,0.64,-0.678
27914,0.12,1.95,0.64,-0.678
27924,0.427,1.61,0.64,-0.678
27929,0.718,1.41,0.64,-0.678
28044,0.08,6.11,0.9,-0.157
28659,0.0617,2.31,1.24,0.194
28669,0.09059,0.953,1.24,0.194
28789,0.1091,2.36,0.99,-0.021
28790,0.094,2.24,0.93,-0.097
28798,0.74,1.79,0.99,-0.021
28799,0.64,1.71,0.93,-0.097
28901,0.06224,16.567,1.84,0.618
28968,0.232,2.76,0.5,-1.385
29744,0.047,10.76,0.99,-0.046
29997,0.117,3.47,1.3,0.342
30005,0.187,3.72,1.3,0.342
30026,0.287,7.16,1.3,0.342
30044,0.386,3.49,1.3,0.342
30161,0.0483,15.906,1.49,0.605
30168,0.0648,2.67,0.68,-0.77
30180,0.0792,2.74,0.68,-0.77
30201,0.0372,1.53,0.68,-0.77
30205,0.0491,1.6,0.68,-0.77
30224,0.0175,1.21,0.68,-0.77
30879,1.137,8.082,1.82,0.573
31464,0.143,8.29,0.96,-0.038
31480,0.14,9.438,1.05,0.037
31482,0.225,9.225,1.05,0.037
31492,0.227,8.08,0.96,-0.038
31618,0.072,15.513,6.3,1.225
31879,0.053,1.478,0.92,-0.106
32377,0.139,2.609,0.71,-0.775
32704,0.02091,1.39,0.6,-1.172
32708,0.0233,0.8,0.31,-1.947
32710,0.02191,0.85,0.3,-1.948
